id,original_title,overview,genres,keywords,cast,production_companies,release_date,vote_average,vote_count,runtime,original_language,popularity,director,combined_features
1452,Superman Returns,superman return discover year absence allow lex luthor walk free close feel abandon move luthor plot ultimate revenge million kill change face planet forever rid man steel,Adventure Fantasy Action ScienceFiction,savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor,BrandonRouth KevinSpacey KateBosworth,DCComics LegendaryPictures WarnerBros. BadHatHarryProductions,2006-06-28,5.4,1400,154.0,en,57.925623,BryanSinger,superman return discover year absence allow lex luthor walk free close feel abandon move luthor plot ultimate revenge million kill change face planet forever rid man steel Adventure Fantasy Action ScienceFiction savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor BrandonRouth KevinSpacey KateBosworth BryanSinger DCComics LegendaryPictures WarnerBros. BadHatHarryProductions
10764,Quantum of Solace,quantum solace continue adventure james bond casino royale betray vesper woman love fight urge late mission personal pursue determination uncover truth bond m interrogate mr white reveal organization blackmail vesper far complex dangerous imagine,Adventure Action Thriller Crime,killing undercover secretagent britishsecretservice,DanielCraig OlgaKurylenko MathieuAmalric,EonProductions,2008-10-30,6.1,2965,106.0,en,107.928811,MarcForster,quantum solace continue adventure james bond casino royale betray vesper woman love fight urge late mission personal pursue determination uncover truth bond m interrogate mr white reveal organization blackmail vesper far complex dangerous imagine Adventure Action Thriller Crime killing undercover secretagent britishsecretservice DanielCraig OlgaKurylenko MathieuAmalric MarcForster EonProductions
58,Pirates of the Caribbean: Dead Man's Chest,captain jack sparrow work way blood debt ghostly davey jones attempt avoid eternal damnation,Adventure Fantasy Action,witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger,JohnnyDepp OrlandoBloom KeiraKnightley,WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions,2006-06-20,7.0,5246,151.0,en,145.847379,GoreVerbinski,captain jack sparrow work way blood debt ghostly davey jones attempt avoid eternal damnation Adventure Fantasy Action witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger JohnnyDepp OrlandoBloom KeiraKnightley GoreVerbinski WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions
57201,The Lone Ranger,texas ranger chase gang outlaws lead butch cavendish gang ambush ranger seemingly kill survivor find american indian name tonto nurse health ranger don mask rid white stallion name silver team tonto bring unscrupulous gang ilk justice,Action Adventure Western,texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto,JohnnyDepp ArmieHammer WilliamFichtner,WaltDisneyPictures JerryBruckheimerFilms InfinitumNihil SilverBulletProductions(II) BlindWinkProductions ClassicMedia,2013-07-03,5.9,2311,149.0,en,49.046956,GoreVerbinski,texas ranger chase gang outlaws lead butch cavendish gang ambush ranger seemingly kill survivor find american indian name tonto nurse health ranger don mask rid white stallion name silver team tonto bring unscrupulous gang ilk justice Action Adventure Western texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto JohnnyDepp ArmieHammer WilliamFichtner GoreVerbinski WaltDisneyPictures JerryBruckheimerFilms InfinitumNihil SilverBulletProductions(II) BlindWinkProductions ClassicMedia
49521,Man of Steel,young boy learn extraordinary power earth young man journey discover come send hero emerge save world annihilation symbol hope mankind,Action Adventure Fantasy ScienceFiction,savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse,HenryCavill AmyAdams MichaelShannon,LegendaryPictures WarnerBros. DCEntertainment Syncopy CruelandUnusualFilms,2013-06-12,6.5,6359,143.0,en,99.398009,ZackSnyder,young boy learn extraordinary power earth young man journey discover come send hero emerge save world annihilation symbol hope mankind Action Adventure Fantasy ScienceFiction savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse HenryCavill AmyAdams MichaelShannon ZackSnyder LegendaryPictures WarnerBros. DCEntertainment Syncopy CruelandUnusualFilms
2454,The Chronicles of Narnia: Prince Caspian,year incredible adventure lion witch wardrobe peter edmund lucy susan pevensie return narnia aid young prince life threaten evil king miraz help colorful cast new character include trufflehunter badger nikabrik dwarf pevensie clan embark incredible quest ensure narnia return rightful heir,Adventure Family Fantasy,basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld,BenBarnes WilliamMoseley AnnaPopplewell,WaltDisney WaldenMedia StillkingFilms OzumiFilms Propeler SilverbellFilms RevolutionSunStudios,2008-05-15,6.3,1630,150.0,en,53.978602,AndrewAdamson,year incredible adventure lion witch wardrobe peter edmund lucy susan pevensie return narnia aid young prince life threaten evil king miraz help colorful cast new character include trufflehunter badger nikabrik dwarf pevensie clan embark incredible quest ensure narnia return rightful heir Adventure Family Fantasy basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld BenBarnes WilliamMoseley AnnaPopplewell AndrewAdamson WaltDisney WaldenMedia StillkingFilms OzumiFilms Propeler SilverbellFilms RevolutionSunStudios
24428,The Avengers,unexpected enemy emerge threaten global safety security nick fury director international peacekeeping agency know s h e l d find need team pull world brink disaster span globe daring recruitment effort begin,ScienceFiction Action Adventure,newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse,RobertDowneyJr. ChrisEvans MarkRuffalo,ParamountPictures MarvelStudios,2012-04-25,7.4,11776,143.0,en,144.448633,JossWhedon,unexpected enemy emerge threaten global safety security nick fury director international peacekeeping agency know s h e l d find need team pull world brink disaster span globe daring recruitment effort begin ScienceFiction Action Adventure newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse RobertDowneyJr. ChrisEvans MarkRuffalo JossWhedon ParamountPictures MarvelStudios
1865,Pirates of the Caribbean: On Stranger Tides,captain jack sparrow cross path woman past s sure s love s ruthless con artist s find fabled fountain youth force aboard queen anne s revenge ship formidable pirate blackbeard jack find unexpected adventure doesn t know fear blackbeard woman past,Adventure Action Fantasy,sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d,JohnnyDepp PenélopeCruz IanMcShane,WaltDisneyPictures JerryBruckheimerFilms MovingPictureCompany(MPC),2011-05-14,6.4,4948,136.0,en,135.413856,RobMarshall,captain jack sparrow cross path woman past s sure s love s ruthless con artist s find fabled fountain youth force aboard queen anne s revenge ship formidable pirate blackbeard jack find unexpected adventure doesn t know fear blackbeard woman past Adventure Action Fantasy sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d JohnnyDepp PenélopeCruz IanMcShane RobMarshall WaltDisneyPictures JerryBruckheimerFilms MovingPictureCompany(MPC)
41154,Men in Black 3,agents j smith k tommy lee jones time j see inexplicable thing year man black alien perplex wry reticent partner k s life fate planet stake agent j travel time thing right j discover secret universe k tell secret reveal team young agent k josh brolin save partner agency future humankind,Action Comedy ScienceFiction,timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory,WillSmith TommyLeeJones JoshBrolin,AmblinEntertainment MediaMagikEntertainment ImagenationAbuDhabiFZ HemisphereMediaCapital Parkes/MacDonaldProductions,2012-05-23,6.2,4160,106.0,en,52.035179,BarrySonnenfeld,agents j smith k tommy lee jones time j see inexplicable thing year man black alien perplex wry reticent partner k s life fate planet stake agent j travel time thing right j discover secret universe k tell secret reveal team young agent k josh brolin save partner agency future humankind Action Comedy ScienceFiction timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory WillSmith TommyLeeJones JoshBrolin BarrySonnenfeld AmblinEntertainment MediaMagikEntertainment ImagenationAbuDhabiFZ HemisphereMediaCapital Parkes/MacDonaldProductions
122917,The Hobbit: The Battle of the Five Armies,immediately event desolation smaug bilbo dwarf try defend erebor s mountain treasure claim man ruin laketown elf mirkwood army orc lead azog defiler march erebor fuel rise dark lord sauron dwarf elve man unite hope middle earth fall bilbo s hand,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery,MartinFreeman IanMcKellen RichardArmitage,WingNutFilms NewLineCinema WarnerBros.Pictures 3Foot7 Metro-Goldwyn-Mayer(MGM),2014-12-10,7.1,4760,144.0,en,120.965743,PeterJackson,immediately event desolation smaug bilbo dwarf try defend erebor s mountain treasure claim man ruin laketown elf mirkwood army orc lead azog defiler march erebor fuel rise dark lord sauron dwarf elve man unite hope middle earth fall bilbo s hand Action Adventure Fantasy corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery MartinFreeman IanMcKellen RichardArmitage PeterJackson WingNutFilms NewLineCinema WarnerBros.Pictures 3Foot7 Metro-Goldwyn-Mayer(MGM)
1930,The Amazing Spider-Man,peter parker outcast high schooler abandon parent boy leave raise uncle ben aunt like teenager peter try figure get person today peter discover mysterious briefcase belong father begin quest understand parent disappearance lead directly oscorp lab dr curt connor father s partner spider man set collision course connor alter ego lizard peter life alter choice use power shape destiny hero,Action Adventure Fantasy,lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger,AndrewGarfield EmmaStone RhysIfans,ColumbiaPictures LauraZiskinProductions MarvelEntertainment,2012-06-27,6.5,6586,136.0,en,89.866276,MarcWebb,peter parker outcast high schooler abandon parent boy leave raise uncle ben aunt like teenager peter try figure get person today peter discover mysterious briefcase belong father begin quest understand parent disappearance lead directly oscorp lab dr curt connor father s partner spider man set collision course connor alter ego lizard peter life alter choice use power shape destiny hero Action Adventure Fantasy lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger AndrewGarfield EmmaStone RhysIfans MarcWebb ColumbiaPictures LauraZiskinProductions MarvelEntertainment
20662,Robin Hood,soldier robin happen die robert loxley promise return man s sword family nottingham assume robert s identity romance widow marion draw ire town s sheriff king john s henchman godfrey,Action Adventure,robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland,RussellCrowe CateBlanchett MaxvonSydow,ImagineEntertainment UniversalPictures ScottFreeProductions RelativityMedia,2010-05-12,6.2,1398,140.0,en,37.668301,RidleyScott,soldier robin happen die robert loxley promise return man s sword family nottingham assume robert s identity romance widow marion draw ire town s sheriff king john s henchman godfrey Action Adventure robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland RussellCrowe CateBlanchett MaxvonSydow RidleyScott ImagineEntertainment UniversalPictures ScottFreeProductions RelativityMedia
57158,The Hobbit: The Desolation of Smaug,dwarf bilbo gandalf successfully escape misty mountain bilbo gain ring continue journey gold dragon smaug,Adventure Fantasy,elves dwarves orcs hobbit dragon wizard swordandsorcery,MartinFreeman IanMcKellen RichardArmitage,WingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM),2013-12-11,7.6,4524,161.0,en,94.370564,PeterJackson,dwarf bilbo gandalf successfully escape misty mountain bilbo gain ring continue journey gold dragon smaug Adventure Fantasy elves dwarves orcs hobbit dragon wizard swordandsorcery MartinFreeman IanMcKellen RichardArmitage PeterJackson WingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM)
2268,The Golden Compass,overhear shocking secret precocious orphan lyra belacqua trade carefree existence roam hall jordan college otherworldly adventure far north unaware s destiny,Adventure Fantasy,england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel,DakotaBlueRichards NicoleKidman DanielCraig,NewLineCinema IngeniousFilmPartners DepthofField ScholasticProductions,2007-12-04,5.8,1303,113.0,en,42.990906,ChrisWeitz,overhear shocking secret precocious orphan lyra belacqua trade carefree existence roam hall jordan college otherworldly adventure far north unaware s destiny Adventure Fantasy england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel DakotaBlueRichards NicoleKidman DanielCraig ChrisWeitz NewLineCinema IngeniousFilmPartners DepthofField ScholasticProductions
254,King Kong,new york overly ambitious movie producer coerce cast hire ship crew travel mysterious skull island encounter kong giant ape immediately smite lead lady,Adventure Drama Action,filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur,NaomiWatts JackBlack AdrienBrody,WingNutFilms UniversalPictures BigPrimatePictures MFPVFilm,2005-12-14,6.6,2337,187.0,en,61.22601,PeterJackson,new york overly ambitious movie producer coerce cast hire ship crew travel mysterious skull island encounter kong giant ape immediately smite lead lady Adventure Drama Action filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur NaomiWatts JackBlack AdrienBrody PeterJackson WingNutFilms UniversalPictures BigPrimatePictures MFPVFilm
597,Titanic,year later year old woman name rose dewitt bukater tell story granddaughter lizzy calvert brock lovett lewis bodine bobby buell anatoly mikailavich keldysh life set april th ship call titanic young rose board depart ship upper class passenger mother ruth dewitt bukater fianc caledon hockley drifter artist name jack dawson good friend fabrizio de rossi win class ticket ship game explain story departure death titanic voyage april th morning,Drama Romance Thriller,shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s,KateWinslet LeonardoDiCaprio FrancesFisher,ParamountPictures TwentiethCenturyFoxFilmCorporation LightstormEntertainment,1997-11-18,7.5,7562,194.0,en,100.025899,JamesCameron,year later year old woman name rose dewitt bukater tell story granddaughter lizzy calvert brock lovett lewis bodine bobby buell anatoly mikailavich keldysh life set april th ship call titanic young rose board depart ship upper class passenger mother ruth dewitt bukater fianc caledon hockley drifter artist name jack dawson good friend fabrizio de rossi win class ticket ship game explain story departure death titanic voyage april th morning Drama Romance Thriller shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s KateWinslet LeonardoDiCaprio FrancesFisher JamesCameron ParamountPictures TwentiethCenturyFoxFilmCorporation LightstormEntertainment
271110,Captain America: Civil War,follow event age ultron collective government world pass act design regulate superhuman activity polarize opinion avenger cause faction iron man captain america cause epic battle ally,Adventure Action ScienceFiction,civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d,ChrisEvans RobertDowneyJr. ScarlettJohansson,StudioBabelsberg MarvelStudios WaltDisneyStudiosMotionPictures Vita-RayDutchProductions(III) DeluxeDigitalStudios,2016-04-27,7.1,7241,147.0,en,198.372395,AnthonyRusso,follow event age ultron collective government world pass act design regulate superhuman activity polarize opinion avenger cause faction iron man captain america cause epic battle ally Adventure Action ScienceFiction civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d ChrisEvans RobertDowneyJr. ScarlettJohansson AnthonyRusso StudioBabelsberg MarvelStudios WaltDisneyStudiosMotionPictures Vita-RayDutchProductions(III) DeluxeDigitalStudios
44833,Battleship,mankind beam radio signal space reply come planet g form alien craft splash water hawaii lieutenant alex hopper weapon officer assign uss john paul jones international naval coalition world s hope survival engage hostile alien force unimaginable strength take invader hopper try live potential brother fianc e s father admiral shane expect,Thriller Action Adventure ScienceFiction,fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri,TaylorKitsch AlexanderSkarsgård Rihanna,UniversalPictures Hasbro BluegrassFilms Film44,2012-04-11,5.5,2114,131.0,en,64.928382,PeterBerg,mankind beam radio signal space reply come planet g form alien craft splash water hawaii lieutenant alex hopper weapon officer assign uss john paul jones international naval coalition world s hope survival engage hostile alien force unimaginable strength take invader hopper try live potential brother fianc e s father admiral shane expect Thriller Action Adventure ScienceFiction fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri TaylorKitsch AlexanderSkarsgård Rihanna PeterBerg UniversalPictures Hasbro BluegrassFilms Film44
135397,Jurassic World,year event jurassic park isla nublar feature fully function dinosaur theme park jurassic world originally envision john hammond,Action Adventure ScienceFiction Thriller,monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror,ChrisPratt BryceDallasHoward IrrfanKhan,UniversalStudios AmblinEntertainment LegendaryPictures FujiTelevisionNetwork Dentsu,2015-06-09,6.5,8662,124.0,en,418.708552,ColinTrevorrow,year event jurassic park isla nublar feature fully function dinosaur theme park jurassic world originally envision john hammond Action Adventure ScienceFiction Thriller monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror ChrisPratt BryceDallasHoward IrrfanKhan ColinTrevorrow UniversalStudios AmblinEntertainment LegendaryPictures FujiTelevisionNetwork Dentsu
37724,Skyfall,bond s late assignment go gravely wrong agent world expose mi attack force m relocate agency event cause authority position challenge gareth mallory new chairman intelligence security committee mi compromise inside m leave ally trust bond take shadow aid field agent eve follow trail mysterious silva lethal hidden motif reveal,Action Adventure Thriller,spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao,DanielCraig JudiDench JavierBardem,ColumbiaPictures,2012-10-25,6.9,7604,143.0,en,93.004993,SamMendes,bond s late assignment go gravely wrong agent world expose mi attack force m relocate agency event cause authority position challenge gareth mallory new chairman intelligence security committee mi compromise inside m leave ally trust bond take shadow aid field agent eve follow trail mysterious silva lethal hidden motif reveal Action Adventure Thriller spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao DanielCraig JudiDench JavierBardem SamMendes ColumbiaPictures
558,Spider-Man 2,peter parker go major identity crisis burn spider man decide shelve superhero alter ego leave city suffer wake carnage leave evil doc ock meantime parker t act feeling mary jane watson girl s love childhood,Action Adventure Fantasy,dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain,TobeyMaguire KirstenDunst JamesFranco,ColumbiaPictures LauraZiskinProductions MarvelEnterprises,2004-06-25,6.7,4321,127.0,en,35.149586,SamRaimi,peter parker go major identity crisis burn spider man decide shelve superhero alter ego leave city suffer wake carnage leave evil doc ock meantime parker t act feeling mary jane watson girl s love childhood Action Adventure Fantasy dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain TobeyMaguire KirstenDunst JamesFranco SamRaimi ColumbiaPictures LauraZiskinProductions MarvelEnterprises
